match_id,season,season_year,half,round,date,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,home_goals_ht,away_goals_ht,venue,result_home,involves_cruz_azul,inconsistency_note
1000,Apertura 2010,2010,apertura,1,2010-07-01,T012,Club Tijuana,T008,Atlas Guadalajara,1,1,1,1,Estadio Caliente,D,0,
1001,Apertura 2010,2010,apertura,1,2010-07-01,T007,Pumas UNAM,T017,Puebla FC,2,1,1,1,Estadio Olímpico Universitario,W,0,
1002,Apertura 2010,2010,apertura,1,2010-07-01,T002,América,T015,Impulsora Necaxa,3,1,3,0,Estadio Azteca,W,0,
1003,Apertura 2010,2010,apertura,1,2010-07-01,T016,Querétaro,T005,Tigres UANL,2,0,1,0,Estadio Corregidora,W,0,
1004,Apertura 2010,2010,apertura,1,2010-07-01,T011,Monarcas Morelia,T001,Cruz Azul,4,2,4,2,Estadio Morelos,W,1,ALERTA: 'Monarcas Morelia' renombrado 'Mazatlán FC' desde 2020 — mismo club_id T011
1005,Apertura 2010,2010,apertura,1,2010-07-01,T018,Dorados Sinaloa,T004,Chivas,0,2,0,1,Estadio de Mazatlán,L,0,ALERTA: 'Dorados Sinaloa' → 'Mazatlán FC' (2020) — club_id T018
1006,Apertura 2010,2010,apertura,1,2010-07-01,T003,Rayados,T006,León,4,0,3,0,Estadio BBVA,W,0,
1007,Apertura 2010,2010,apertura,1,2010-07-01,T013,Bravos de Juárez,T009,Santos Laguna,3,0,1,0,Estadio Olímpico Benito Juárez,W,0,
1008,Apertura 2010,2010,apertura,2,2010-07-08,T016,Querétaro,T014,San Luis,1,0,0,0,Estadio Corregidora,W,0,
1009,Apertura 2010,2010,apertura,2,2010-07-08,T006,León FC,T015,Impulsora Necaxa,1,3,1,0,Estadio León,L,0,
1010,Apertura 2010,2010,apertura,2,2010-07-08,T009,Santos,T004,Chivas,0,3,0,0,Estadio Corona,L,0,
1011,Apertura 2010,2010,apertura,2,2010-07-08,T011,Monarcas Morelia,T005,Tigres UANL,2,0,1,0,Estadio Morelos,W,0,ALERTA: 'Monarcas Morelia' renombrado 'Mazatlán FC' desde 2020 — mismo club_id T011
1012,Apertura 2010,2010,apertura,2,2010-07-08,T007,UNAM Pumas,T002,América,2,0,1,0,Estadio Olímpico Universitario,W,0,
1013,Apertura 2010,2010,apertura,2,2010-07-08,T003,Monterrey,T013,FC Juárez,3,4,1,3,Estadio BBVA,L,0,
1014,Apertura 2010,2010,apertura,2,2010-07-08,T017,La Franja,T018,Dorados Sinaloa,1,1,0,1,Estadio Cuauhtémoc,D,0,ALERTA: 'Dorados Sinaloa' → 'Mazatlán FC' (2020) — club_id T018
1015,Apertura 2010,2010,apertura,2,2010-07-08,T012,Club Tijuana,T001,Cruz Azul,3,1,3,0,Estadio Caliente,W,1,
1016,Apertura 2010,2010,apertura,3,2010-07-15,T010,Toluca,T018,Dorados Sinaloa,0,0,0,0,Estadio Nemesio Díez,D,0,ALERTA: 'Dorados Sinaloa' → 'Mazatlán FC' (2020) — club_id T018
1017,Apertura 2010,2010,apertura,3,2010-07-15,T001,C. Azul,T017,Club Puebla,3,1,3,1,Estadio Ciudad de los Deportes,W,1,
1018,Apertura 2010,2010,apertura,3,2010-07-15,T012,Tijuana,T015,Necaxa,2,2,2,2,Estadio Caliente,D,0,
1019,Apertura 2010,2010,apertura,3,2010-07-15,T008,Atlas Guadalajara,T013,Bravos de Juárez,2,0,1,0,Estadio Jalisco,W,0,
1020,Apertura 2010,2010,apertura,3,2010-07-15,T009,Santos Laguna,T002,Club América,0,2,0,2,Estadio Corona,L,0,
1021,Apertura 2010,2010,apertura,3,2010-07-15,T006,León FC,T005,Tigres,2,3,0,1,Estadio León,L,0,
1022,Apertura 2010,2010,apertura,3,2010-07-15,T016,Querétaro FC,T003,CF Monterrey,2,1,0,0,Estadio Corregidora,W,0,
1023,Apertura 2010,2010,apertura,3,2010-07-15,T004,Chivas,T014,San Luis,0,1,0,0,Estadio Akron,L,0,
1024,Apertura 2010,2010,apertura,4,2010-07-22,T012,Club Tijuana,T005,Tigres UANL,3,0,0,0,Estadio Caliente,W,0,
1025,Apertura 2010,2010,apertura,4,2010-07-22,T013,Bravos de Juárez,T011,Monarcas Morelia,1,0,1,0,Estadio Olímpico Benito Juárez,W,0,ALERTA: 'Monarcas Morelia' renombrado 'Mazatlán FC' desde 2020 — mismo club_id T011
1026,Apertura 2010,2010,apertura,4,2010-07-22,T002,América,T016,Querétaro,1,2,1,0,Estadio Azteca,L,0,
1027,Apertura 2010,2010,apertura,4,2010-07-22,T015,Impulsora Necaxa,T006,Club León,1,0,1,0,Estadio Victoria,W,0,
